id,type,text1,text2,text3,notes
quad_laser_mod,WEAPON,"Rebel technicians have modified the Quad Laser Cannons used by the Empire, allowing for quicker refire.",Close Support,,
laser_cannon,WEAPON,Standard Energy Weapon found throughout the galaxy,Close Support,,
turbo_red,WEAPON,A single barreled turbolaser designed to be mounted on ships with smaller space to work with.,Close Support,,
dual_turbo_red,WEAPON,"Rebel Alliance modified version of the standard Turbolaser Battery found on Imperial Warships",Assault,,
frigate_turbolaser,WEAPON,A specially balanced weapon designed to operate under the smaller power output of frigate-class ships.,Close Support,,
ftr_heavy_cannon,WEAPON,"With modifications, the R-9X heavy laser cannons could be upgraded to be overcharged, dealing twice the amount of damage, at the cost of them momentarily overheating",Assault,,
ftr_laser_cannon,WEAPON,"A powerful laser cannon that could operate both in and out of space and were considerably more powerful than those on the various TIE models.",Assault,,
blaster_cannon,WEAPON,A rapid-firing but innacurate Laser Cannon mounted on fighters,Close Support,,
ftr_ion_cannon,WEAPON,Lower power Ion Cannons designed for use on fighter craft.,Close Support,,
torp_tube_3,WEAPON,Energized torpedoes carried a devastatingly powerful blast. Three torpedo magazine,Strike,,
torp_tube_4,WEAPON,Energized torpedoes carried a devastatingly powerful blast. Four torpedo magazine,Strike,,
torp_tube_8,WEAPON,Energized torpedoes carried a devastatingly powerful blast. Eight torpedo magazine,Strike,,
torp_tube_12,WEAPON,Energized torpedoes carried a devastatingly powerful blast. Twelve torpedo magazine,Strike,,
missle_tube_18,WEAPON,Heavy missiles primarily used for planetary bombardement and anti-capital ship duty. 18 Missle magazine,Strike,,
missle_tube_4,WEAPON,Heavy missiles primarily used for planetary bombardement and anti-capital ship duty. Four Missle magazine,Strike,,
missle_tube_6,WEAPON,Heavy missiles primarily used for planetary bombardement and anti-capital ship duty. Six Missle magazine,Strike,,
tie_missle,WEAPON,Concussion Missle Launcher mounted on TIE/sa Bombers. Eight Missle magazine,Strike,,
tie_torp,WEAPON,Proton Torpedo Tube mounted on TIE/sa Bombers. Six torpedo magazine,Strike,,
sw_laser_tie,WEAPON,"Standard Laser cannons mounted on TIE series ships",Assault,,
,,,,,
,,,,,
,,,,,
lancer_frigate,SHIP,"Imperial Frigate with twenty quad laser cannon batteries designed specifically for starfighter hunting. However, this came at cost of having no capital grade weaponry or shielding, leaving the ships vulnerable to other capital ships. The ship was also quite slow, allowing many fighters to simply outrun it.",,,
strike_cruiser,SHIP,"A medium star cruiser designed for the Imperial Navy as a general-purpose vessel capable of modular modifications to allow it to fit many mission profiles, yet cheap enough to be produced in large quantities.",,,
dreadnaught_heavy,SHIP,"The Dreadnaught-class heavy cruiser, or simply the Dreadnaught, was a type of capital ship built for planetary occupation and space combat used by the Galactic Republic, Galactic Empire, New Republic, local governments and various other organizations.",,,
vindicator_cruiser,SHIP,"The Vindicator-class heavy cruiser was the standard 600-meter-long heavy cruiser design of the Imperial Navy.",,,
victory_mki,SHIP,"A warship designed for planetary defense, planetary assault, ground troop support, and ship-to-ship combat.",,,
victory_mkii,SHIP,"An improved version of the Victory I-class Star Destroyer. The Victory II-class was a more direct predecessor to the Imperial-class Star Destroyer. Though outwardly similar to the Victory I-class Star Destroyer, the Victory II-class was designed for deep space combat.",,,
mki_sd,SHIP,"Imperial-class Star Destroyers had a distinguished career in the Imperial Starfleet, where they symbolized the Empire's military might. Eventually, these Star Destroyers rendered older vessels, like the Venator-class, obsolete. Capable of laying waste to entire worlds ,the Imperial-class became infamous as the prime enforcer of Imperial rule, and even served as a small, peacekeeping battleship.",,,
mkii_sd,SHIP,"The Imperial II-class Star Destroyer, also known as the Imperial II-class Destroyer and colloquially the "ImpStar Deuce", was a Star Destroyer model that was derived from the Imperial I-class Star Destroyer.",,,
mc80_homeone,SHIP,"The MC80 Home One type Star Cruiser was one of the several MC80 Star Cruiser designs built by the Mon Calamari. Originally fielded before the Galactic Civil War as civilian vessels, they were modified by the Rebel Alliance, and served in command ship and battleship roles in the Alliance Fleet. Although the most common MC80 subclass was the MC80 Liberty type Star Cruiser, the Home One type was perhaps the most famous of all Rebel capital ship designs, as it was the class of the Home One and the Independence, which served as Admiral Ackbar's flagships in many famous battles.",,,
liberty_mc80,SHIP,"The MC80 Liberty type Star Cruiser was an early type of Mon Calamari Star Cruiser put into service for the Rebel Alliance during the Galactic Civil War. Like most Mon Calamari designs, each vessel was individually unique, which was frustrating for Rebel technicians. As with other Calamari designs during the Galactic Civil War, all warships in this group were standardized as much as possible to aid non-Calamari crewmembers.",,,
mc40_a,SHIP,"The MC40 was a small Rebel capital ship, larger than the Imperial Strike-class medium cruiser. It was equipped with powerful shields for a vessel of its size. Its three engines gave it a higher speed than the bigger MC80a Star Cruiser, and it was more maneuverable.",,,
mc30_c,SHIP,"It was considered one of the most powerful mid-level ships used in the war. MC30c frigates utilized proton torpedoes to bombard larger enemy starships in combat. In addition to this, it was also one of the fastest ships of its type. It featured several proton torpedo launchers as well as turbolaser batteries. The largest weakness of the ship was that it had very light armor. The weapons it carried were strong enough to threaten most capital ships, but if heavy fire was concentrated on the frigate, it would most likely be destroyed.",,,
nebulon_b,SHIP,"The EF76 Nebulon-B escort frigate was a 300-meter-long warship that was built for use by the Imperial Navy, to protect convoys from Rebel Alliance starfighter actions. It was, however, used more famously by the Rebellion. While generally well-armed for a vessel of that size, its midsection connecting spar was a vulnerability. It could be split open by concentrated heavy weapons fire, venting the frigate's atmosphere and killing most of the crew.",,,
yt_1300,SHIP,"The appeal of the YT-1300 transport was not its basic equipment, but in its ability to take an extraordinary amount of modifications and alterations. In short, the YT-1300 was reliable, durable, and easy to modify, hence its popularity amongst freighter captains throughout the galaxy.",,,
cr90_corvette,SHIP,"The CR90 corvette, commonly referred to as the Corellian corvette or the Rebel blockade runner, was a small, multi-purpose capital ship. A versatile starship, the CR90 was used extensively across the galaxy by governments and private interests. The interior of the CR90 featured a modular design to allow for easy reconfiguration of the Corellian corvette from one function to another.",,,
assault_frigate,SHIP,"The Assault Frigate Mark I was a modification of the Dreadnaught-class cruiser that was used in the Rebel fleet.",,,
skipray_blastboat,SHIP,"While small enough to be carried aboard capital ships as a starfighter, its immense power output, weaponry, and shielding caused some registries to designate it as a capital ship itself.",,,
tie_bomber,SHIP,"The TIE/sa bomber, simply known as the TIE bomber, was a larger, less maneuverable TIE starfighter used for destroying large starships and pinpoint-precision bombing. The "sa" in the TIE bomber's designation stood for "surface assault." Due to their distinctive dual-hull shape, TIE bombers came to be referred to occasionally as "dupes" by enemy pilots.",,,
tie_ln,SHIP,"The TIE/LN starfighter, or TIE/line starfighter, simply known as the TIE Fighter, was the standard Imperial starfighter seen in massive numbers throughout most of the Galactic Civil War and onward. Colloquially, Rebel and New Republic pilots referred to the crafts as "eyeballs."",,,
tie_interceptor,SHIP,"The TIE/IN starfighter, or TIE Interceptor, was a TIE series starfighter used by the Galactic Empire. The TIE Interceptor was identifiable by its arrow-shaped solar collection panels, a distinct difference from the hexagonal solar arrays of its predecessor, the TIE Fighter. The Interceptor was one of the fastest starfighters in the galaxy at its prime, nearly rivaling the Alliance's RZ-1 A-wing interceptor. Due to their speed, distinct shape, and narrow profile in comparison to the TIE/ln starfighter (which was nicknamed "eyeball"), TIE Interceptors came to be referred to occasionally as "squints" by enemy pilots.",,,
y_wing_btl,SHIP,"Affectionately known as a "wishbone" to Rebel Alliance and New Republic pilots, the Y-wing starfighter was deployed as a fighter-bomber, designed to fight its way to its objective, deliver its payload of high explosives, and fight its way out again. Its weaponry included two laser cannons, two ion cannons, and two proton torpedo launchers.",,,
b_wing_heavy,SHIP,"The B-wing starfighter was one of the largest and most heavily armed starfighters/bombers in the Rebel Alliance's fleet. The name B-wing came from the craft's remote similarity in appearance to the lowercase letter "b", although its swordlike shape in attack mode has earned it the nickname "blade-wing", which may be another reason for the "b" prefix.",,,
a_wing_rz1,SHIP,"The RZ-1 A-wing interceptor was a cockpit attached to twin engines. The A-wing required pilots of exceptional skill to take full advantage of the vessel's speed, agility, and special features. One of the fastest mass-produced interceptors in the known galaxy, the A-wing was even faster than the Imperial's TIE Interceptor.",,,
x_wing_t65,SHIP,"The Incom T-65 X-wing starfighter was the primary all-purpose starfighter of the Rebel Alliance and its successor governments. Known for its versatility and exceptional combat performance, it was a favorite with Rebel and New Republic pilots. Possessing deflector shields, a hyperdrive, an R2 astromech for repairs and navigation, and a complement of proton torpedoes, the X-wing allowed the Rebellion to launch raids in Imperial space with improved odds of a successful mission.",,,
,,,,,
,,,,,
,,,,,
hoth,PLANET,"A hostile planet with freezing temperatures and occasional meteor strikes from the nearby asteroid belt. Nevertheless, the Rebel Alliance has decided to maintain a base in this location.",,,
coruscant,PLANET,"Coruscant, home of the Galactic Empire and capital of the galaxy. The entire planet is one massive city covering all of it's surface and it's atmosphere is artificial so it can support all of the different species that inhabit it.",,,
dagobah,PLANET,"A planet filled with swampy forests, dense fog and nearly untouched by any intelligent life forms. It is considered to be the one of the purest places in the whole galaxy.",,,
endor,PLANET,"A small forest moon that orbits a gas giant of the same name and atmosphere breathable to humans. It is inhabited by several sentient species and holds a small Imperial outpost.",,,
tatooine,PLANET,"Due to the effect of the binary star system this planet is lacking enough surface water to sustain large populations on it's own, thus many residents draw water from the atmosphere through moisture farms.",,,
yavin,PLANET,"The fourth moon of the red gas giant Yavin and the location of the Rebel Alliance Headquarters. It's surface is covered by dense rain forests and jungles.",,,
mon_cala,PLANET,"An oceanic planet, home to the Mon Calamari Shipyards, a vital part of the planet's economy, and some of the best strategists in the whole galaxy, so great several Admirals of the Rebel Alliance came from this world.",,,
,,,,,
,,,,,
,,,,,
example,SHIP_SYSTEM,Example description.,

